source_id,teff_gspphot,logg_gspphot,mh_gspphot,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,lum_flame,mass_flame,radius_flame,age_flame
2086541158751075968,5485.2637,4.4145,-0.4854,,,0.987062722624433,0.020058215,14.943677,0.81191885,0.87703776,0.99683267,12.997967
2106674071344722688,5421.0293,4.5125,-0.3159,-30.917858,0.2049511,15.625260506779943,0.010475128,9.556875,0.49476153,,0.7971255,
2106929849536047744,3376.0808,4.9669,-0.6796,,,10.382225356041312,0.0362088,16.286032,0.006238109,,0.23299979,
2130255885640736768,5890.1436,4.3034,-0.4439,-21.956148,4.60295,1.2209004726956711,0.012195865,13.922863,1.3635441,1.0272964,1.1211158,6.000312
2131114947819394816,4877.782,4.5607,0.0049,,,1.172651992264176,0.027422134,15.811903,0.29263127,0.7856336,0.75671977,7.789796
2132681339572129536,5196.291,4.4413,-0.1903,-6.930217,6.528921,1.2774241322210318,0.017024828,14.744537,0.5853917,,0.9441555,
2143749504651818368,5714.2964,4.3581,-0.0891,-19.68153,1.615751,2.0260245571035567,0.009501443,13.059884,1.0498693,0.9620036,1.0449014,7.9322367
2210596444367488384,7668.557,4.0599,-0.2146,-10.219177,0.35090733,4.36720372027043,0.014138379,8.903872,11.866081,1.7373552,1.9512591,0.9574713
2299246592282070400,6376.4614,4.051,-0.2692,-13.313354,0.56559104,2.342387821365673,0.010873259,11.559911,3.9846594,1.3127823,1.6355337,2.866592
2308834780352875904,5157.767,4.4831,0.5553,4.713166,0.32594347,4.651975578252476,0.022600828,12.040077,0.5446974,,0.92379254,
2584622022068408576,3386.963,4.2999,-0.6993,13.940455,0.25602219,35.230516262394715,0.02819187,11.216652,0.037615284,,0.5456266,
2893174259322992256,5444.6235,4.4831,0.0112,16.403948,0.13538548,29.133915567647797,0.017152062,7.893656,0.6148022,0.9591377,0.8607983,0.9865415
2974906868489280768,5267.6655,4.4855,0.0612,23.413946,0.63528156,6.6028586079112195,0.015041716,11.630299,0.52047294,0.84739417,0.8652314,10.5175
3073443760538892032,5785.9624,4.0262,-0.3184,-18.294085,0.12401426,19.258204931237945,0.027069662,7.3260283,2.3417032,1.0457238,1.5225137,8.825173
3343402074506386176,5755.1987,4.0893,-0.0984,-15.608105,1.0442889,1.6849955919326616,0.014244041,12.37097,3.0531635,1.1009969,1.905869,7.8001666
3538256769264276480,5564.98,4.3483,0.0501,-14.160546,3.7760215,1.5713970176135472,0.020817911,13.774706,0.98670244,0.8955279,1.070899,13.347034
3796690380302214272,,,,30.24066,0.4564032,22.737380384101503,0.02197514,11.474142,,,,
3948424496764080640,5203.3135,4.5274,-0.2156,-8.56213,0.12910396,31.03687554605237,0.022238214,8.184688,0.4279454,0.8697861,0.8049608,3.7180831
4844691297067063424,5591.4077,4.5683,0.0268,19.784569,0.3739142,8.099278403924245,0.010753243,10.75605,0.6257332,,0.842954,
5902750168276592256,5620.91,4.3504,-0.6025,-68.7763,0.12268176,67.84669435693799,0.06005369,5.48217,1.0546448,0.91881895,1.0829165,11.791903
6214741299913205888,4892.7793,3.1857,-0.0525,-14.281684,0.15849672,12.179065411926285,0.02298413,6.8459873,11.270418,1.3131704,4.673096,4.4061856
6858088299469303168,4989.206,4.3489,-0.3504,-54.747616,3.9536278,0.8854935203151415,0.0633,14.641256,1.4165328,0.94700414,1.5943036,
252366608956186240,,,,-43.76313,0.28241542,26.589300033944568,0.019234827,12.28457,,,,
1726858366624544640,6000.5503,4.264,-0.2264,-20.899893,0.21945795,8.757882828594408,0.011238739,9.41864,1.6297324,1.0695695,1.1807545,5.114369
1925321658551399040,6715.8354,4.1056,-0.4524,-21.667309,0.33985108,3.6458922712977846,0.022111854,10.31066,4.6950593,1.3881706,1.5999188,1.8169717
2101507470508342016,,,,-57.359997,2.9722774,1.0859388037717692,0.011524246,13.480224,,,,
2105930840143687680,4496.5137,4.6051,0.3687,,,1.7441266886751994,0.025196766,15.765948,0.17881186,0.7178777,0.69199896,7.866678
2127390970655877888,6251.631,4.0816,-0.2603,-20.555634,3.1752634,1.0836791989188177,0.018204665,13.1672325,3.3935077,1.2611066,1.5699117,3.3790872
2233920659406441856,4285.071,4.6408,0.3047,-81.7986,1.4026363,5.417804386670516,0.011462956,13.701427,0.13782531,,0.6742447,
2275130045974715904,6131.947,4.1306,0.0227,-11.60777,0.1803729,7.164099738623578,0.010210799,9.195248,2.9337523,1.2145593,1.5170668,4.0544496
2416782701664155008,5833.2603,4.1864,-0.0497,9.065874,0.40885735,3.9574082355761,0.024708994,10.993513,1.8362583,1.0195304,1.326163,8.891259
2498515516990171392,6049.0347,4.101,-0.2918,-8.878636,0.579953,2.441586885175443,0.015805405,11.680991,2.532727,1.1704824,1.4484801,4.687566
2613924969021549440,4703.5396,4.6045,-0.1093,10.514843,1.7313948,4.8146206455220915,0.016292443,13.207608,0.20780434,0.76899195,0.6878165,
2666015878575546496,5050.713,4.5254,0.2772,-0.5373138,0.6053893,5.726170402811745,0.013378436,11.946362,0.42297298,0.8045212,0.84964216,13.423085
2768048564768256512,3111.5388,4.4842,-0.7977,51.04111,0.25555122,82.19379738137908,0.032552015,11.399355,0.0079520745,,0.30720517,
2802397960855105920,5110.9243,4.4555,-0.0824,-33.06524,0.12619796,90.02481648583029,0.048158985,5.6543193,0.52988535,,0.9284035,
3538925100535948416,5314.1733,4.4678,0.552,38.164486,0.14228252,11.9542508284815,0.017457925,9.746839,0.6780664,,0.971632,
3604866386264961792,5604.084,4.3922,-0.0814,8.86614,0.2190605,8.881564691083204,0.021882644,10.128917,0.8583402,0.93191767,0.9810673,8.208777
3620501712193719296,4544.274,4.5904,0.091,0.13232282,0.8247794,9.24106598090104,0.017805107,11.893948,0.19667009,0.7204598,0.7154725,11.152576
3867810120985878272,5350.963,4.4767,0.0489,3.0376356,0.7036197,4.086969932463619,0.013203613,12.145548,0.61990887,0.8480238,0.9155594,13.02241
4610267648427698816,4354.2,4.5392,0.1463,-20.806316,0.13088928,44.10871283656803,0.014426127,8.514702,0.20003156,,0.78589696,
4623036865373793408,5855.533,4.2235,-0.2298,10.706408,0.11827232,54.682509087903306,0.03544243,5.5115805,1.5354643,1.0258615,1.2040532,7.452642
4699702272124241152,3924.9246,4.494,0.1194,17.978836,1.996288,5.321882603849215,0.044023655,14.387966,0.11829638,,0.7381996,
4746157737910069888,5949.5474,4.2774,-0.3425,-15.910603,0.1943925,6.3408949472178335,0.012855889,10.031728,1.7791133,1.0710022,1.2552606,6.144923
4781196115469953024,3290.1882,4.1619,-1.2919,25.89916,0.36688346,44.48991348844197,0.014726759,11.62116,0.017404199,,0.40601245,
5580554052549277056,6137.0757,3.9693,-0.1254,40.378944,0.30827576,2.9493260095016427,0.013374463,10.403227,5.8626275,1.4232676,2.1417952,2.8884954
5643762781311698048,5375.89,4.4001,0.144,29.66466,0.1357349,27.24412061973968,0.021709198,7.8677955,0.71770597,0.8704808,0.97662205,12.165175
5656896924435896832,,,,-11.533417,1.0195829,1.1949500390509085,0.013162605,12.827957,,,,
5660492297395345408,5805.1826,4.3003,-0.2814,19.619947,0.14579564,21.930073931594904,0.026663147,7.78381,1.1812085,0.99305665,1.0743611,6.8135343
6055854551117476480,6512.7812,4.0885,-0.5593,7.5617456,0.18729118,10.520068855799272,0.022339126,8.106044,3.8893871,1.3179774,1.5459535,2.3989496
6173451477191225984,5891.3594,4.1061,-0.4391,-19.694342,0.30808032,5.176458791083674,0.03648819,9.873362,3.1086185,1.1260473,1.6908984,6.659321
602466302541172736,4835.2656,4.5398,-0.3057,4.839989,7.3336973,2.234991297788768,0.02324656,14.381456,0.2848942,0.7633488,0.7598867,11.832897
796063843195758208,5635.401,4.3208,-0.3098,-53.616592,0.13055938,18.57222471636576,0.0238952,8.094008,1.2477033,0.927007,1.1717998,12.649369
1438038102484626048,4962.0303,2.9037,0.0511,-16.507694,0.11775343,9.844326577083288,0.02159819,5.90441,38.30024,2.702292,8.374828,0.502276
1490845584382687232,5062.5137,4.5289,-0.1888,-13.076191,0.1528001,23.805198940613547,0.01245791,8.918078,0.3791186,0.8121412,0.80034727,9.753675
1694625251248104832,5559.5537,4.4213,0.1685,-10.859496,0.6429484,3.4240717494590003,0.009336795,12.092901,0.8991857,0.8963604,1.022604,12.187738
1962153854973972096,,,,-25.778393,0.3696034,2.053418042070098,0.016772069,11.4148245,,,,
2076790552200353536,4469.4785,4.6774,0.4629,-5.9267273,7.027051,3.067643079858053,0.019195339,15.018551,0.14843419,0.71729004,0.6433732,
2098964849867337856,5241.8354,4.5249,0.1051,-20.538956,0.40291348,6.264815818044874,0.01110555,11.552229,0.4906552,0.8490471,0.84907573,9.298038
2101495685117920128,5626.1616,4.4542,-0.2752,,,1.0103520483304045,0.019575065,15.078138,0.75621754,0.9699142,0.9198953,3.5416417
2441630500517079808,,,,-40.457607,0.29774976,206.3500392057332,0.04744553,11.773832,,,,
2726339892542980864,5735.602,4.0864,-0.1625,-2.2890794,0.84120744,1.9620371965733072,0.014856018,12.513289,1.9434861,1.0014607,1.4119462,10.281376
4017860992519744384,3228.1418,4.0089,-1.2188,8.869629,0.15878437,102.30138546700664,0.030192282,9.582008,0.022784673,,0.4825565,
4201307051566729984,5229.077,4.3914,0.1722,-46.591373,0.15155485,20.73395093466188,0.026857791,8.378475,0.7880669,,1.0814794,
4632865331094140928,5208.5034,4.4693,0.1949,-4.5136995,0.18727767,12.143573738636375,0.009993687,10.005381,0.5213966,,0.8867028,
4783664690873269888,4918.331,4.5677,-0.0488,-3.773131,0.25631312,14.73412356963217,0.011219758,10.349036,0.28880537,0.8165191,0.7399754,1.7771628
4847957293278177024,5427.3184,4.4433,0.0247,87.75779,0.12703782,165.5242095575573,0.07836173,4.063915,0.64640737,0.88599557,0.9096495,9.191145
5381537023379295232,5538.9297,4.3867,-0.6391,16.94267,0.118458375,107.3024338562276,0.08731465,4.701676,0.871211,0.889921,1.0135885,12.461332
5603100779728361088,5771.059,4.2625,-0.2895,9.233706,3.1203427,1.2375778593752944,0.011671306,13.549922,1.7443757,0.99652123,1.321181,9.97003
5986650013613194624,5668.9717,4.1886,-0.0199,-38.260147,1.1080351,2.400674461542214,0.014082673,12.432441,1.5095956,0.94712347,1.2793542,12.396408
6049072213596652288,4732.089,4.4224,-1.0178,,,7.255516360162687,0.077142775,16.586227,0.32166797,0.7994657,0.863407,8.7335415
6099000589942631424,3720.5503,4.3715,-0.711,-0.10510431,0.16218662,41.461783362473945,0.017520834,9.701463,0.09575393,,0.7450184,
6129327525817451648,3592.8848,4.5805,-0.3519,15.36146,1.2031004,11.610361954315938,0.016629426,13.67733,0.04967251,,0.5759265,
6843672087120107264,6448.214,4.1283,-0.8172,-11.798612,0.14028391,24.527534260182925,0.035447113,6.585952,2.9348407,1.2542365,1.3726988,2.2198179
596931979481073152,5640.517,4.3519,0.111,-2.9877584,0.42178166,3.636243218452784,0.020156324,11.744914,1.088829,0.926784,1.0916137,11.382364
600698184764497664,6238.767,4.1932,-0.2877,,,9.436021143454356,0.020809373,8.8185425,2.4345555,1.1836125,1.3352174,3.3320823
