main_id,sp_type,rvz_radvel,rvz_type,query_id
BD+68   946,M3.0V,-28.65,v,GJ 687
BD+45  2743,M0.5V,-31.65,v,GJ 720 A
BD-13  5069,dM1.0,-32.954,v,GJ 724
HD 173739,M3V,-0.58,v,GJ 725 A
HD 176029,M1.0V,10.434,v,GJ 740
BD+44  3567,M2V,-24.72,v,GJ 806
HD 204961,M1.5V,13.164,v,GJ 832
BD-05  5715,M3.5V,-15.3,v,GJ 849
HD  13445,K1.5V,55.23,v,GJ 86
BD-15  6290,M3.5V,-1.47,v,GJ 876
HD 217987,M2V,8.82,v,GJ 887
BD+19  5116A,M3.5Ve,0.31,v,GJ 896 A
V* TZ Ari,M4.5V,-28.34,v,GJ 9066
BD+29  2279,M0.5V,-0.83,v,GJ 9404
BD+47   612,M0V,-37.94,v,GJ 96
Ross  754,K6V,-68.36,v,GJ 9689
HD 199981,K6Vk:,-15.059,v,GJ 9714
Wolf 1014,M3.0V,11.2,v,GJ 9773
BD-02  5958,K6V,32.1,v,GJ 9827
UCAC4 731-024744,F2,-8.47,v,GPX-1
GSC 06214-00210,M1e,-6.29,v,GSC 06214-00210
BD+37  4734B,G0V,-2.674,v,HAT-P-1
BD+47  2936,K4V,-63.452,v,HAT-P-11
HAT-P-12,K5,-40.806702,v,HAT-P-12
HAT-P-13,G4,14.564,v,HAT-P-13
BD+38  2917,F5V,-20.417,v,HAT-P-14
HAT-P-15,G5,31.21,v,HAT-P-15
HAT-P-16,F8,-15.51,v,HAT-P-16
HAT-P-17,G0,20.02,v,HAT-P-17
HAT-P-18,K2V,-11.83,v,HAT-P-18
HAT-P-19,K1V,-19.61,v,HAT-P-19
HD 147506,F8V,-18.9554,v,HAT-P-2
HAT-P-20,K3V,-18.559,v,HAT-P-20
HAT-P-21,G3,-51.98,v,HAT-P-21
HD 233731,G5,12.63,v,HAT-P-22
HAT-P-23,G0,-14.324,v,HAT-P-23
HAT-P-24,F8,-1.19,v,HAT-P-24
HAT-P-25,G5,-11.82,v,HAT-P-25
HAT-P-26,K1,14.58,v,HAT-P-26
HAT-P-27,G8,-15.901,v,HAT-P-27
HAT-P-28,G4,48.06,v,HAT-P-28
